British Museum,London,United Kingdom,92000,1753
Louvre,Paris,France,72735,1792
State Hermitage Museum,St. Petersburg,Russia,66842,1764
National Museum of China,Beijing,China,65000,1959
Metropolitan Museum of Art,New York City,United States,58820,1870
Museo del Prado,Madrid,Spain,47700,1819
Vatican Museums,Vatican City (Rome),Vatican City,43000,1506
Tokyo National Museum,Tokyo,Japan,38000,1872
National Museum of Anthropology,Mexico City,Mexico,33000,1964
Victoria and Albert Museum,London,United Kingdom,30658,1852
Humboldt Forum,Berlin,Germany,29500,2020
Kunsthistorisches Museum,Vienna,Austria,29000,1891
Houston Museum of Fine Arts,Houston,United States,28000,1900
National Museum of Korea,Seoul,South Korea,27090,1909
Art Institute of Chicago,Chicago,United States,26000,1879
Mystetskyi Arsenal,Kyiv,Ukraine,24000,2006
National Gallery of Art,Washington D.C.,United States,25200,1937
MASS MoCA,North Adams,United States,23225,1999
Art & History Museum,Brussels,Belgium,22000,1835
Museum of Fine Arts,Boston,United States,20500,1870
Royal Ontario Museum,Toronto,Canada,19900,1912
Shandong Art Museum,Jinan,China,19700,1977
Israel Museum,Jerusalem,Israel,18500,1965
National Gallery Singapore,Singapore,Singapore,18000,2015
Minneapolis Institute of Art,Minneapolis,United States,17500,1883
Interdisciplinary Regional Museum of Messina,Messina,Italy,17000,1806
Museu Oscar Niemeyer,Curitiba,Brazil,17000,2002
M+,Kowloon,Hong Kong,17000,2021
Birmingham Museum of Art,Birmingham,United States,17000,1951
Arsenal (Biennale),Venice,Italy,17000,1895
Musée National d'Art Moderne,Paris,France,17000,1947
Musée d'Orsay,Paris,France,16853,1986
San Francisco Museum of Modern Art,San Francisco,United States,15800,1935
Museum of Modern Art,New York City,United States,15400,1929
Museo di Capodimonte,Naples,Italy,15000,1757
Denver Art Museum,Denver,United States,15000,1918
Egyptian Museum,Cairo,Egypt,15000,1902
Dia:Beacon,Beacon New York,United States,14900,2003
Dallas Museum of Art,Dallas,United States,14800,1903
Museo Reina Sofía,Madrid,Spain,14756,1992
MMCA Gwacheon,Gwacheon,South Korea,14144,1969
Detroit Institute of Arts,Detroit,United States,14000,1885
Tokyo National Art Center,Tokyo,Japan,14000,2007
National Taiwan Museum of Fine Arts,Taichung,Taiwan,13600,1988
National Gallery in Prague (Veletržní),Prague,Czech Republic,13500,1796
Indianapolis Museum of Art,Indianapolis,United States,13300,1883
Milwaukee Art Museum,Milwaukee,United States,13196,1882
Bavarian National Museum,Munich,Germany,13000,1855
Capital Museum,Beijing,China,13000,1981
Montreal Museum of Fine Arts,Montreal,Canada,13000,1860
National Gallery (UK),London,United Kingdom,13000,1824
National Gallery of Victoria,Melbourne,Australia,19600,1861
Palais de Tokyo,Paris,France,13000,2001
Salar Jung Museum,Hyderabad,India,13000,1855
National Archaeological Museum Naples,Naples,Italy,12650,1777
Virginia Museum of Fine Arts,Richmond,United States,12500,1934
Tate Modern,London,United Kingdom,12427,2000
Cleveland Museum of Art,Cleveland,United States,12400,1913
National Gallery of Canada,Ottawa,Canada,12400,1880
Art Gallery of Ontario,Toronto,Canada,12000,1900
Hamburger Kunsthalle,Hamburg,Germany,12000,1869
Museum Boijmans Van Beuningen,Rotterdam,Netherlands,12000,1849
National Gallery of Modern Art,New Delhi,India,12000,1954
Palais des Beaux-Arts de Lille,Lille,France,12000,1809
Pinakothek der Moderne,Munich,Germany,12000,2002
Rijksmuseum,Amsterdam,Netherlands,12000,1800
Tretyakov Gallery (Krymsky Val),Moscow,Russia,12000,1985
Taipei Fine Arts Museum,Taipei,Taiwan,11700,1983
Kunsthaus,Zürich,Switzerland,11500,1910
Art Gallery of New South Wales,Sydney,Australia,11000,1874
Capitoline Museums,Rome,Italy,11000,1471
Fondazione Prada,Milan,Italy,11000,1993
Guggenheim Museum,Bilbao,Spain,11000,1997
Los Angeles County Museum of Art,Los Angeles,United States,11000,1910
Shaanxi History Museum,Xi'an,China,11000,1991
HangarBicocca,Milan,Italy,10900,2012
Museu Nacional d'Art de Catalunya,Barcelona,Spain,10500,1934
Tibet Museum,Lhasa,China,10500,1999
Portland Art Museum,Portland Oregon,United States,10400,1892
Museum of Fine Arts Budapest,Budapest,Hungary,10300,1906
Antonino Salinas Regional Archeological Museum,Palermo,Italy,10000,1866
Carnegie Museum of Art,Pittsburgh,United States,10000,1896
Hamburger Bahnhof,Berlin,Germany,10000,1996
Kunstmuseum Basel,Basel,Switzerland,10000,1936
MAXXI,Rome,Italy,10000,2010
Museo Egizio,Turin,Italy,10000,1824
Museum Kunstpalast,Düsseldorf,Germany,10000,1913
MMCA Seoul,Seoul,South Korea,10000,2013
Saint Louis Art Museum,St. Louis,United States,10000,1881
Tel Aviv Museum of Art,Tel Aviv,Israel,10000,1932
National Palace Museum,Taipei,Taiwan,9613,1925
National Archaeological Museum (Spain),Madrid,Spain,9300,1867
Musée Fabre,Montpellier,France,9300,1828
Pinacoteca do Estado de São Paulo,São Paulo,Brazil,9112,1905
Bardo National Museum,Tunis,Tunisia,9000,1888
Cité de l'Architecture et du Patrimoine,Paris,France,9000,1879
National Gallery (Norway),Oslo,Norway,9000,1842
Power Station of Art (Biennale),Shanghai,China,9000,2012
De Young Museum,San Francisco,United States,8919,1895
Smithsonian American Art Museum,Washington D.C.,United States,8800,1829
Musée du quai Branly,Paris,France,8750,2006
High Museum of Art,Atlanta,United States,8714,1905
Liaoning Provincial Museum,Shenyang,China,8500,1949
Gallerie di Piazza Scala,Milan,Italy,8300,2011
National Art Museum of China,Beijing,China,8300,1958
Gemäldegalerie,Berlin,Germany,8000,1830
Louvre Abu Dhabi,Abu Dhabi,UAE,8000,2017
Museum Ludwig,Cologne,Germany,8000,1976
National Archaeological Museum (Greece),Athens,Greece,8000,1866
Neues Museum,Berlin,Germany,8000,1855
Petit Palais,Paris,France,8000,1902
Stedelijk Museum,Amsterdam,Netherlands,8000,1874
